,texture height (mm),center-to-center distance (mm),texture width (mm),lip depth (mm),lip thickness (mm),receding angle,Category_non-textured,Category_textured,subcategory_cavities,subcategory_flat,subcategory_pillars,subcategory_reentrant-cavities,subcategory_reentrant-pillars,subcategory_rough,subcategory_rough-donuts,subcategory_rough-strings,material_CNTs forrest,material_IPS,material_OTFE,material_PDMS,material_SiO2,"material_cis-1,4-polyisoprene tape","material_cis-1,4-polyisoprene tape?",material_electrospun-fruoroPOSS-PMMA,material_epoxy,material_silica,material_silicon wafers,material_spincoat-fluoroPOSS-PMMA,coating_10-Undecenyl,coating_11-Bromoundecyl,coating_OTS,coating_Octadecyl,coating_Octyltriethoxy,coating_PDMS oligomer,coating_PTFE,coating_Phenethyl,coating_Phenyl,coating_glaco (pefluorinated silica NPs ~ 50nm),coating_none,coating_perfluorodecyltrichlorosilane (FDTS),coating_piranha-cleaned and storage,coating_plasma treatment,coating_tetrahydrodecyltrichlorosilane,test liquid_BMIm,test liquid_FC-70,test liquid_decane,test liquid_hexadecane,test liquid_hexane,test liquid_isopropanol,test liquid_octane,test liquid_pentane,test liquid_perhydrophenalene,test liquid_silicone oil,test liquid_water,Arrangement_None,Arrangement_hexagonal,Arrangement_square,Basic Geometry_None,Basic Geometry_circle
material_SiO2,0.4507579591805842,0.5605436932224626,0.5830685390944651,0.11045694148134902,0.24082934609250403,-0.011578192865350652,-0.6416408612774667,0.6416408612774668,0.708142835634043,-0.49330670756983697,0.39626354032187955,-0.07647191129018725,0.11402610871143655,-0.13665914371885043,-0.053668754096530824,-0.053668754096530824,-0.053668754096530845,-0.17157506166142353,-0.053668754096530845,-0.07647191129018725,1.0,-0.053668754096530845,-0.053668754096530845,-0.053668754096530824,-0.24367851213013048,-0.07647191129018713,-0.30380249716635904,-0.053668754096530845,-0.053668754096530845,-0.053668754096530845,-0.09437628193085972,-0.053668754096530845,-0.053668754096530824,-0.0764719112901873,-0.053668754096530845,-0.053668754096530845,-0.053668754096530845,-0.05366875409653073,-0.17414126920684572,0.37686595252084987,0.14494151606544753,0.39626354032187944,-0.16040883439526266,-0.0764719112901873,-0.0764719112901873,-0.09437628193085972,-0.17157506166142364,-0.09437628193085972,-0.09437628193085966,0.1822619328515435,-0.09437628193085974,-0.0764719112901873,-0.07647191129018732,0.2795530723408052,-0.6416408612774669,0.7712212367609447,0.06412401294416835,-0.6416408612774669,0.6416408612774669
"material_cis-1,4-polyisoprene tape",-0.06393481296208708,-0.06249269407874708,-0.05231528974360813,-0.04942915232435671,-0.05366875409653083,0.18334135597788154,0.07330166661378312,-0.07330166661378319,-0.038005143710863554,-0.16022372418292116,-0.021266970502955684,-0.02126697050295567,-0.04138535654946332,0.39271981834558956,-0.014925373134328361,-0.014925373134328354,-0.01492537313432836,-0.04771532074763924,-0.01492537313432836,-0.02126697050295567,-0.053668754096530845,1.0,-0.01492537313432836,-0.01492537313432836,-0.06776741475716973,-0.021266970502955684,-0.08448799875609093,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.026246206877004914,-0.01492537313432836,-0.014925373134328365,0.7018100265975372,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.014925373134328368,-0.11518245674418134,-0.04138535654946332,-0.03800514371086352,-0.021266970502955684,-0.04460997367454705,-0.02126697050295567,-0.02126697050295567,-0.026246206877004907,-0.04771532074763921,-0.026246206877004897,-0.026246206877004897,-0.03441734189851671,-0.0262462068770049,-0.021266970502955673,-0.02126697050295567,0.12216944435630527,0.07330166661378314,-0.04771532074763924,-0.04771532074763923,0.07330166661378314,-0.0733016666137832
"material_cis-1,4-polyisoprene tape?",-0.06393481296208708,-0.06249269407874708,-0.05231528974360813,-0.04942915232435672,-0.05366875409653085,0.18334135597788154,0.07330166661378312,-0.07330166661378319,-0.038005143710863554,-0.16022372418292116,-0.021266970502955684,-0.02126697050295567,-0.04138535654946332,0.3927198183455896,-0.014925373134328361,-0.014925373134328354,-0.01492537313432836,-0.047715320747639255,-0.01492537313432836,-0.02126697050295567,-0.053668754096530845,-0.01492537313432836,1.0,-0.01492537313432836,-0.06776741475716973,-0.021266970502955684,-0.08448799875609093,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.026246206877004914,-0.01492537313432836,-0.014925373134328365,0.7018100265975372,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.014925373134328368,-0.11518245674418134,-0.04138535654946332,-0.03800514371086352,-0.021266970502955684,-0.04460997367454705,-0.02126697050295567,-0.02126697050295567,-0.026246206877004907,0.3128004360123014,-0.026246206877004897,-0.026246206877004897,-0.03441734189851671,-0.0262462068770049,-0.021266970502955673,-0.02126697050295567,-0.12216944435630525,0.07330166661378314,-0.04771532074763924,-0.04771532074763923,0.07330166661378314,-0.0733016666137832
material_electrospun-fruoroPOSS-PMMA,-0.0639348129620871,-0.06249269407874707,-0.052315289743608114,-0.04942915232435671,-0.053668754096530824,0.18334135597788154,0.07330166661378319,-0.07330166661378319,-0.03800514371086354,-0.16022372418292113,-0.021266970502955684,-0.021266970502955673,-0.04138535654946328,-0.038005143710863526,-0.014925373134328363,1.0,-0.01492537313432836,-0.04771532074763922,-0.01492537313432836,-0.021266970502955673,-0.053668754096530824,-0.01492537313432836,-0.01492537313432836,1.0,-0.06776741475716971,-0.021266970502955684,-0.0844879987560909,-0.014925373134328354,-0.014925373134328354,-0.014925373134328354,-0.026246206877004914,-0.014925373134328354,-0.01492537313432836,-0.021266970502955666,-0.014925373134328354,-0.014925373134328354,-0.014925373134328354,-0.014925373134328368,0.12958026383720406,-0.04138535654946329,-0.03800514371086351,-0.02126697050295568,-0.04460997367454704,-0.021266970502955673,-0.021266970502955677,-0.02624620687700491,-0.04771532074763921,-0.0262462068770049,-0.026246206877004897,-0.03441734189851671,-0.02624620687700491,-0.021266970502955673,-0.021266970502955677,0.12216944435630525,0.07330166661378315,-0.04771532074763922,-0.04771532074763921,0.07330166661378315,-0.07330166661378318
material_epoxy,-0.2902906981573964,-0.28374287736813425,-0.2375332198591721,-0.22442895306622002,-0.24367851213013048,-0.2942568709710702,0.3328201177351378,-0.3328201177351376,-0.17255919256291535,0.4229549344378136,-0.09656090991705357,-0.0965609099170535,-0.18790676768477563,-0.17255919256291527,-0.06776741475716971,-0.06776741475716971,-0.06776741475716973,-0.2166474434022357,-0.06776741475716973,-0.0965609099170535,-0.24367851213013048,-0.06776741475716973,-0.06776741475716973,-0.06776741475716971,1.0,-0.09656090991705357,-0.38361072799838586,-0.06776741475716971,-0.06776741475716971,-0.06776741475716971,-0.11916871834484359,-0.06776741475716971,-0.06776741475716971,-0.0965609099170535,-0.06776741475716971,-0.06776741475716971,-0.06776741475716971,-0.06776741475716976,0.03268602252303083,-0.18790676768477568,-0.1725591925629153,-0.09656090991705354,0.6582805886043832,-0.0965609099170535,0.31382295723042386,0.2184759836322132,-0.012035969077901953,0.21847598363221318,-0.11916871834484365,0.10938835388564896,0.2184759836322132,0.3138229572304239,-0.0965609099170535,-0.41602514716892175,0.3328201177351378,-0.2166474434022357,-0.2166474434022357,0.3328201177351378,-0.3328201177351376
material_silica,-0.09109988535223833,-0.08904502886873723,-0.07454337749666977,-0.07043095773936912,-0.07647191129018718,0.04447788509412303,0.1044465935734187,-0.1044465935734186,-0.05415303610738831,-0.04778386858817095,-0.030303030303030193,-0.030303030303030314,-0.05896945751844652,0.252714168501145,-0.021266970502955684,-0.021266970502955684,-0.021266970502955684,-0.06798894136490051,-0.021266970502955684,-0.030303030303030314,-0.07647191129018713,-0.021266970502955684,-0.021266970502955684,-0.021266970502955684,-0.09656090991705357,1.0,-0.12038585308576918,-0.021266970502955684,-0.021266970502955684,-0.021266970502955684,-0.03739787960033831,-0.021266970502955684,-0.021266970502955684,-0.030303030303030318,-0.021266970502955684,-0.021266970502955684,-0.021266970502955684,0.7018100265975372,0.01025762424827769,-0.058969457518446525,-0.054153036107388176,-0.030303030303030193,-0.06356417261637287,-0.03030303030303032,-0.030303030303030328,-0.0373978796003383,-0.06798894136490051,-0.0373978796003383,-0.037397879600338295,-0.049040823861375,-0.0373978796003383,-0.03030303030303032,-0.030303030303030318,0.17407765595569788,0.1044465935734187,-0.06798894136490038,-0.06798894136490047,0.1044465935734187,-0.1044465935734186
material_silicon wafers,-0.13868200592653873,-0.08013511993879184,-0.08416637441917413,0.1455311279485819,0.037661466590870954,-0.11679318059202444,0.12993022011546582,-0.1299302201154659,-0.21513556181608906,0.2665325826459362,-0.12038585308576918,0.25171587463388106,-0.027382198304686696,-0.21513556181608898,-0.08448799875609088,-0.0844879987560909,-0.08448799875609093,-0.2701019213181924,-0.08448799875609093,-0.12038585308576916,-0.30380249716635904,-0.08448799875609093,-0.08448799875609093,-0.0844879987560909,-0.38361072799838586,-0.12038585308576918,1.0,-0.08448799875609089,0.17665672467182644,0.17665672467182644,0.3106501191107069,0.17665672467182644,0.17665672467182642,-0.12038585308576923,-0.08448799875609092,0.17665672467182644,0.17665672467182644,-0.08448799875609089,-0.08520622635759086,-0.23426991882898612,0.22817408071403397,-0.12038585308576918,-0.25252349582173345,0.2517158746338811,-0.12038585308576927,0.004502175639285594,0.008184906706611877,0.004502175639285585,-0.1485717960964251,-0.07438814984891526,0.004502175639285594,-0.12038585308576924,0.251715874633881,1.0469868529848738e-17,0.12993022011546582,-0.27010192131819244,0.10094718271487986,0.12993022011546582,-0.1299302201154659
material_spincoat-fluoroPOSS-PMMA,-0.06393481296208708,-0.06249269407874708,-0.05231528974360813,-0.04942915232435671,-0.05366875409653083,0.13127126978254183,0.07330166661378315,-0.07330166661378319,-0.038005143710863554,-0.16022372418292116,-0.021266970502955684,-0.02126697050295567,-0.04138535654946332,0.39271981834558956,-0.014925373134328361,-0.014925373134328354,-0.01492537313432836,-0.04771532074763924,-0.01492537313432836,-0.02126697050295567,-0.053668754096530845,-0.01492537313432836,-0.01492537313432836,-0.014925373134328354,-0.06776741475716971,-0.021266970502955684,-0.08448799875609089,1.0,-0.01492537313432836,-0.01492537313432836,-0.026246206877004914,-0.01492537313432836,-0.014925373134328365,-0.02126697050295567,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.014925373134328368,0.12958026383720414,-0.04138535654946332,-0.03800514371086352,-0.021266970502955684,-0.04460997367454705,-0.02126697050295567,-0.02126697050295567,-0.026246206877004907,-0.04771532074763921,-0.026246206877004897,-0.026246206877004897,-0.03441734189851671,-0.0262462068770049,-0.021266970502955673,-0.02126697050295567,0.12216944435630527,0.07330166661378318,-0.04771532074763924,-0.04771532074763923,0.07330166661378318,-0.0733016666137832
coating_10-Undecenyl,-0.06393481296208708,-0.06249269407874708,-0.05231528974360813,-0.04942915232435671,-0.05366875409653083,-0.020855060474431066,0.07330166661378312,-0.07330166661378319,-0.038005143710863554,0.09315332801332626,-0.021266970502955684,-0.02126697050295567,-0.04138535654946332,-0.03800514371086354,-0.014925373134328361,-0.014925373134328354,-0.01492537313432836,-0.04771532074763924,-0.01492537313432836,-0.02126697050295567,-0.053668754096530845,-0.01492537313432836,-0.01492537313432836,-0.014925373134328354,-0.06776741475716971,-0.021266970502955684,0.17665672467182644,-0.01492537313432836,1.0,-0.01492537313432836,-0.026246206877004914,-0.01492537313432836,-0.014925373134328365,-0.02126697050295567,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.014925373134328368,-0.11518245674418134,-0.04138535654946332,-0.03800514371086352,-0.021266970502955684,-0.04460997367454705,-0.02126697050295567,-0.02126697050295567,-0.026246206877004907,-0.04771532074763921,-0.026246206877004897,-0.026246206877004897,-0.03441734189851671,-0.0262462068770049,-0.021266970502955673,-0.02126697050295567,0.12216944435630525,0.07330166661378314,-0.04771532074763924,-0.04771532074763923,0.07330166661378314,-0.0733016666137832
coating_11-Bromoundecyl,-0.06393481296208708,-0.06249269407874708,-0.05231528974360813,-0.04942915232435671,-0.05366875409653083,-0.00451934715824606,0.07330166661378312,-0.07330166661378319,-0.038005143710863554,0.09315332801332626,-0.021266970502955684,-0.02126697050295567,-0.04138535654946332,-0.03800514371086354,-0.014925373134328361,-0.014925373134328354,-0.01492537313432836,-0.04771532074763924,-0.01492537313432836,-0.02126697050295567,-0.053668754096530845,-0.01492537313432836,-0.01492537313432836,-0.014925373134328354,-0.06776741475716971,-0.021266970502955684,0.17665672467182644,-0.01492537313432836,-0.01492537313432836,1.0,-0.026246206877004914,-0.01492537313432836,-0.014925373134328365,-0.02126697050295567,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.014925373134328368,-0.11518245674418134,-0.04138535654946332,-0.03800514371086352,-0.021266970502955684,-0.04460997367454705,-0.02126697050295567,-0.02126697050295567,-0.026246206877004907,-0.04771532074763921,-0.026246206877004897,-0.026246206877004897,-0.03441734189851671,-0.0262462068770049,-0.021266970502955673,-0.02126697050295567,0.12216944435630527,0.07330166661378314,-0.04771532074763924,-0.04771532074763923,0.07330166661378314,-0.0733016666137832
coating_OTS,-0.11242910395225206,-0.10989314386517568,-0.09199622046855986,-0.08692095976322362,-0.09437628193085969,-0.028773809351680363,0.12890067732709795,-0.1289006773270979,-0.06683188790311703,0.16380974172739013,-0.03739787960033831,-0.03739787960033831,-0.0727759781882802,-0.06683188790311702,-0.02624620687700492,-0.026246206877004914,-0.026246206877004914,-0.08390719402952725,-0.026246206877004914,-0.03739787960033831,-0.09437628193085972,-0.026246206877004914,-0.026246206877004914,-0.026246206877004914,-0.11916871834484359,-0.03739787960033831,0.3106501191107069,-0.026246206877004914,-0.026246206877004914,-0.026246206877004914,1.0,-0.0262462068770049,-0.02624620687700492,-0.037397879600338274,-0.0262462068770049,-0.0262462068770049,-0.0262462068770049,-0.02624620687700493,-0.20254787341673325,-0.07277597818828023,-0.06683188790311703,-0.037397879600338316,-0.0784464540552736,0.3864447558701622,-0.03739787960033828,-0.046153846153846156,-0.08390719402952725,-0.046153846153846156,-0.04615384615384621,-0.06052275326688027,-0.04615384615384614,-0.03739787960033828,0.3864447558701622,-0.0716114874039433,0.12890067732709795,-0.08390719402952727,-0.08390719402952722,0.12890067732709795,-0.1289006773270979
coating_Octadecyl,-0.06393481296208713,-0.06249269407874708,-0.05231528974360813,-0.04942915232435671,-0.05366875409653085,0.08532707608077149,0.07330166661378315,-0.07330166661378319,-0.038005143710863554,0.09315332801332626,-0.021266970502955684,-0.02126697050295567,-0.04138535654946332,-0.03800514371086354,-0.014925373134328361,-0.014925373134328354,-0.01492537313432836,-0.047715320747639255,-0.01492537313432836,-0.02126697050295567,-0.053668754096530845,-0.01492537313432836,-0.01492537313432836,-0.014925373134328354,-0.06776741475716971,-0.021266970502955684,0.17665672467182644,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.0262462068770049,1.0,-0.014925373134328365,-0.02126697050295567,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.014925373134328368,-0.11518245674418134,-0.04138535654946332,-0.03800514371086352,-0.021266970502955684,-0.04460997367454705,-0.02126697050295567,-0.02126697050295567,-0.026246206877004907,-0.04771532074763922,-0.026246206877004897,-0.026246206877004897,-0.03441734189851671,-0.0262462068770049,-0.021266970502955673,-0.02126697050295567,0.12216944435630527,0.07330166661378314,-0.04771532074763924,-0.04771532074763923,0.07330166661378314,-0.0733016666137832
coating_Octyltriethoxy,-0.06393481296208704,-0.062492694078746996,-0.052315289743608114,-0.04942915232435671,-0.053668754096530824,-0.02085506047443106,0.0733016666137831,-0.0733016666137832,-0.03800514371086351,0.09315332801332624,-0.021266970502955684,-0.02126697050295567,-0.04138535654946329,-0.03800514371086353,-0.014925373134328361,-0.01492537313432836,-0.014925373134328365,-0.047715320747639206,-0.014925373134328365,-0.02126697050295567,-0.053668754096530824,-0.014925373134328365,-0.014925373134328365,-0.01492537313432836,-0.06776741475716971,-0.021266970502955684,0.17665672467182642,-0.014925373134328365,-0.014925373134328365,-0.014925373134328365,-0.02624620687700492,-0.014925373134328365,1.0,-0.021266970502955673,-0.014925373134328361,-0.014925373134328361,-0.014925373134328361,-0.014925373134328368,-0.11518245674418136,-0.04138535654946329,-0.038005143710863505,-0.021266970502955684,-0.044609973674547054,-0.021266970502955673,-0.021266970502955677,-0.02624620687700491,-0.04771532074763921,-0.026246206877004907,-0.02624620687700489,-0.03441734189851672,-0.02624620687700491,-0.021266970502955677,-0.021266970502955673,0.12216944435630529,0.07330166661378312,-0.04771532074763922,-0.04771532074763919,0.07330166661378312,-0.07330166661378319
coating_PDMS oligomer,-0.0910998853522385,-0.08904502886873743,-0.07454337749666985,-0.0704309577393692,-0.0764719112901873,0.26124071904008467,0.10444659357341868,-0.10444659357341875,-0.05415303610738826,-0.22830070547681655,-0.030303030303030318,-0.0303030303030303,-0.058969457518446546,0.5595813731096781,-0.021266970502955673,-0.021266970502955666,-0.02126697050295567,-0.06798894136490052,-0.02126697050295567,-0.0303030303030303,-0.0764719112901873,0.7018100265975372,0.7018100265975372,-0.021266970502955666,-0.0965609099170535,-0.030303030303030318,-0.12038585308576923,-0.02126697050295567,-0.02126697050295567,-0.02126697050295567,-0.037397879600338274,-0.02126697050295567,-0.021266970502955673,1.0,-0.02126697050295567,-0.02126697050295567,-0.02126697050295567,-0.021266970502955684,-0.16412198797244362,-0.05896945751844655,-0.05415303610738822,-0.030303030303030318,-0.06356417261637282,-0.030303030303030304,-0.030303030303030304,-0.03739787960033828,0.18885817045805683,-0.037397879600338274,-0.037397879600338274,-0.04904082386137497,-0.037397879600338274,-0.030303030303030304,-0.0303030303030303,-1.6306736207185594e-17,0.1044465935734187,-0.06798894136490054,-0.06798894136490051,0.1044465935734187,-0.10444659357341878
coating_PTFE,-0.06393481296208708,-0.06249269407874708,-0.05231528974360813,-0.04942915232435671,-0.05366875409653083,0.2037609976231128,0.07330166661378312,-0.07330166661378319,-0.038005143710863554,-0.16022372418292116,-0.021266970502955684,-0.02126697050295567,-0.04138535654946332,0.39271981834558956,-0.014925373134328361,-0.014925373134328354,1.0,-0.04771532074763924,-0.01492537313432836,-0.02126697050295567,-0.053668754096530845,-0.01492537313432836,-0.01492537313432836,-0.014925373134328354,-0.06776741475716971,-0.021266970502955684,-0.08448799875609092,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.0262462068770049,-0.01492537313432836,-0.014925373134328361,-0.02126697050295567,1.0,-0.01492537313432836,-0.01492537313432836,-0.014925373134328368,-0.11518245674418134,-0.04138535654946332,-0.03800514371086352,-0.021266970502955684,-0.04460997367454705,-0.02126697050295567,-0.02126697050295567,-0.026246206877004907,-0.04771532074763921,-0.026246206877004897,-0.026246206877004897,-0.03441734189851671,-0.0262462068770049,-0.021266970502955673,-0.02126697050295567,0.12216944435630525,0.07330166661378318,-0.04771532074763924,-0.04771532074763923,0.07330166661378318,-0.0733016666137832
coating_Phenethyl,-0.06393481296208708,-0.06249269407874708,-0.05231528974360813,-0.04942915232435671,-0.05366875409653083,-0.002477382993722934,0.07330166661378312,-0.07330166661378319,-0.038005143710863554,0.09315332801332626,-0.021266970502955684,-0.02126697050295567,-0.04138535654946332,-0.03800514371086354,-0.014925373134328361,-0.014925373134328354,-0.01492537313432836,-0.047715320747639255,-0.01492537313432836,-0.02126697050295567,-0.053668754096530845,-0.01492537313432836,-0.01492537313432836,-0.014925373134328354,-0.06776741475716971,-0.021266970502955684,0.17665672467182644,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.0262462068770049,-0.01492537313432836,-0.014925373134328361,-0.02126697050295567,-0.01492537313432836,1.0,-0.01492537313432836,-0.014925373134328368,-0.11518245674418134,-0.04138535654946332,-0.03800514371086352,-0.021266970502955684,-0.04460997367454705,-0.02126697050295567,-0.02126697050295567,-0.026246206877004907,-0.04771532074763921,-0.026246206877004897,-0.026246206877004897,-0.03441734189851671,-0.0262462068770049,-0.021266970502955673,-0.02126697050295567,0.12216944435630527,0.07330166661378314,-0.04771532074763924,-0.04771532074763923,0.07330166661378314,-0.0733016666137832
coating_Phenyl,-0.06393481296208708,-0.06249269407874708,-0.05231528974360813,-0.04942915232435671,-0.05366875409653083,0.02611011530960083,0.07330166661378312,-0.07330166661378319,-0.038005143710863554,0.09315332801332626,-0.021266970502955684,-0.02126697050295567,-0.04138535654946332,-0.03800514371086354,-0.014925373134328361,-0.014925373134328354,-0.01492537313432836,-0.04771532074763924,-0.01492537313432836,-0.02126697050295567,-0.053668754096530845,-0.01492537313432836,-0.01492537313432836,-0.014925373134328354,-0.06776741475716971,-0.021266970502955684,0.17665672467182644,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.0262462068770049,-0.01492537313432836,-0.014925373134328361,-0.02126697050295567,-0.01492537313432836,-0.01492537313432836,1.0,-0.014925373134328368,-0.11518245674418134,-0.04138535654946332,-0.03800514371086352,-0.021266970502955684,-0.04460997367454705,-0.02126697050295567,-0.02126697050295567,-0.026246206877004907,-0.04771532074763921,-0.026246206877004897,-0.026246206877004897,-0.03441734189851671,-0.0262462068770049,-0.021266970502955673,-0.02126697050295567,0.12216944435630527,0.07330166661378314,-0.04771532074763924,-0.04771532074763923,0.07330166661378314,-0.0733016666137832
coating_glaco (pefluorinated silica NPs ~ 50nm),-0.06393481296208697,-0.06249269407874695,-0.052315289743608065,-0.049429152324356664,-0.05366875409653077,0.18538332014240472,0.07330166661378315,-0.07330166661378308,-0.03800514371086359,-0.1602237241829212,-0.021266970502955597,-0.021266970502955684,-0.04138535654946329,0.39271981834558956,-0.014925373134328368,-0.014925373134328368,-0.014925373134328368,-0.04771532074763923,-0.014925373134328368,-0.021266970502955684,-0.05366875409653073,-0.014925373134328368,-0.014925373134328368,-0.014925373134328368,-0.06776741475716976,0.7018100265975372,-0.08448799875609089,-0.014925373134328368,-0.014925373134328368,-0.014925373134328368,-0.02624620687700493,-0.014925373134328368,-0.014925373134328368,-0.021266970502955684,-0.014925373134328368,-0.014925373134328368,-0.014925373134328368,1.0,-0.11518245674418139,-0.04138535654946329,-0.03800514371086349,-0.021266970502955597,-0.04460997367454709,-0.021266970502955687,-0.02126697050295569,-0.02624620687700492,-0.047715320747639234,-0.02624620687700492,-0.026246206877004918,-0.03441734189851674,-0.02624620687700492,-0.021266970502955687,-0.021266970502955684,0.12216944435630527,0.07330166661378315,-0.04771532074763913,-0.0477153207476392,0.07330166661378315,-0.07330166661378308
coating_none,-0.03193146874632262,-0.24653102666183646,-0.2953595205670065,-0.1289758578083854,-0.09413041578748423,-0.14474168760255088,0.09820927516479842,-0.09820927516479837,-0.29329423004270677,0.10783277320343859,0.18463723646899902,-0.16412198797244362,0.06843859108291539,-0.08554415042912275,0.12958026383720395,0.12958026383720406,-0.11518245674418134,0.15342910298305384,0.12958026383720408,0.18463723646899902,-0.17414126920684572,-0.11518245674418134,-0.11518245674418134,0.12958026383720406,0.03268602252303083,0.01025762424827769,-0.08520622635759086,0.12958026383720414,-0.11518245674418134,-0.11518245674418134,-0.20254787341673325,-0.11518245674418134,-0.11518245674418136,-0.16412198797244362,-0.11518245674418134,-0.11518245674418134,-0.11518245674418134,-0.11518245674418139,1.0,-0.3193800917202724,-0.2932942300427067,-0.16412198797244362,-0.3442651863295481,0.010257624248277768,0.010257624248277763,0.08439494725697223,-0.020457213731073887,0.08439494725697225,0.08439494725697219,-0.039840953644479746,0.08439494725697225,0.01025762424827776,0.010257624248277747,-0.11785113019775796,0.09820927516479845,-0.10740037208813778,-0.020457213731073964,0.09820927516479845,-0.09820927516479834
coating_perfluorodecyltrichlorosilane (FDTS),0.03846581091806678,0.1291407067994658,0.166438208101677,-0.04975176468283738,-0.01739381319326989,0.03680892671249838,-0.12582281880891524,0.12582281880891508,0.23585356555323841,-0.04280355380952003,-0.058969457518446525,-0.05896945751844652,0.04449648711943802,-0.10538138035357457,-0.04138535654946329,-0.04138535654946329,-0.04138535654946332,0.2961133002275764,-0.04138535654946332,-0.05896945751844652,0.37686595252084987,-0.04138535654946332,-0.04138535654946332,-0.04138535654946329,-0.18790676768477568,-0.058969457518446525,-0.23426991882898612,-0.04138535654946332,-0.04138535654946332,-0.04138535654946332,-0.07277597818828023,-0.04138535654946332,-0.04138535654946329,-0.05896945751844655,-0.04138535654946332,-0.04138535654946332,-0.04138535654946332,-0.04138535654946329,-0.3193800917202724,1.0,-0.1053813803535745,-0.058969457518446525,-0.12369537763428123,-0.05896945751844656,-0.05896945751844656,-0.07277597818828023,0.01050047163927576,-0.0727759781882802,0.16287957023091276,0.2753925322176223,-0.07277597818828023,-0.058969457518446546,-0.05896945751844655,-0.04839339184958261,-0.12582281880891522,0.15330688593342612,0.010500471639275836,-0.12582281880891522,0.1258228188089151
coating_piranha-cleaned and storage,0.4222213134495898,0.5988186222052054,0.5342532676827096,0.6692094961352321,0.5673425057418943,0.15834397105670725,-0.5184758473652128,0.5184758473652126,0.26881720430107536,-0.4079848194519323,-0.054153036107388176,0.5595813731096783,0.23585356555323825,-0.09677419354838714,-0.038005143710863505,-0.03800514371086351,-0.03800514371086352,-0.1214996506890064,-0.03800514371086352,-0.05415303610738819,0.14494151606544753,-0.03800514371086352,-0.03800514371086352,-0.03800514371086351,-0.1725591925629153,-0.054153036107388176,0.22817408071403397,-0.03800514371086352,-0.03800514371086352,-0.03800514371086352,-0.06683188790311703,-0.03800514371086352,-0.038005143710863505,-0.05415303610738822,-0.03800514371086352,-0.03800514371086352,-0.03800514371086352,-0.03800514371086349,-0.2932942300427067,-0.1053813803535745,1.0,-0.05415303610738823,-0.11359236684941301,-0.05415303610738825,-0.05415303610738825,-0.06683188790311698,0.1844994695647874,-0.06683188790311696,-0.06683188790311685,-0.08763841367493654,-0.06683188790311698,-0.05415303610738826,-0.05415303610738825,0.10369516947304251,-0.5184758473652128,0.18449946956478755,0.4904985898185812,-0.5184758473652128,0.5184758473652126
coating_plasma treatment,0.272895665434311,0.4257420806001905,0.45903027195317725,0.08659543984348678,0.15989581451584609,-0.17519451709272396,-0.2901294265928298,0.29012942659282986,0.5595813731096787,-0.22830070547681658,-0.030303030303030193,-0.030303030303030314,-0.05896945751844652,-0.0541530361073882,-0.021266970502955684,-0.02126697050295568,-0.021266970502955684,-0.06798894136490051,-0.021266970502955684,-0.030303030303030314,0.39626354032187944,-0.021266970502955684,-0.021266970502955684,-0.02126697050295568,-0.09656090991705354,-0.030303030303030193,-0.12038585308576918,-0.021266970502955684,-0.021266970502955684,-0.021266970502955684,-0.037397879600338316,-0.021266970502955684,-0.021266970502955684,-0.030303030303030318,-0.021266970502955684,-0.021266970502955684,-0.021266970502955684,-0.021266970502955597,-0.16412198797244362,-0.058969457518446525,-0.05415303610738823,1.0,-0.06356417261637287,-0.030303030303030318,-0.030303030303030325,-0.0373978796003383,-0.06798894136490051,-0.0373978796003383,-0.037397879600338295,-0.049040823861375,-0.0373978796003383,-0.03030303030303032,-0.030303030303030318,0.17407765595569788,-0.2901294265928298,0.44570528228101436,-0.06798894136490047,-0.2901294265928298,0.29012942659282986
