,texture height (mm),center-to-center distance (mm),texture width (mm),lip depth (mm),lip thickness (mm),receding angle,Category_non-textured,Category_textured,subcategory_cavities,subcategory_flat,subcategory_pillars,subcategory_reentrant-cavities,subcategory_reentrant-pillars,subcategory_rough,subcategory_rough-donuts,subcategory_rough-strings,material_CNTs forrest,material_IPS,material_OTFE,material_PDMS,material_SiO2,"material_cis-1,4-polyisoprene tape","material_cis-1,4-polyisoprene tape?",material_electrospun-fruoroPOSS-PMMA,material_epoxy,material_silica,material_silicon wafers,material_spincoat-fluoroPOSS-PMMA,coating_10-Undecenyl,coating_11-Bromoundecyl,coating_OTS,coating_Octadecyl,coating_Octyltriethoxy,coating_PDMS oligomer,coating_PTFE,coating_Phenethyl,coating_Phenyl,coating_glaco (pefluorinated silica NPs ~ 50nm),coating_none,coating_perfluorodecyltrichlorosilane (FDTS),coating_piranha-cleaned and storage,coating_plasma treatment,coating_tetrahydrodecyltrichlorosilane,test liquid_BMIm,test liquid_FC-70,test liquid_decane,test liquid_hexadecane,test liquid_hexane,test liquid_isopropanol,test liquid_octane,test liquid_pentane,test liquid_perhydrophenalene,test liquid_silicone oil,test liquid_water,Arrangement_None,Arrangement_hexagonal,Arrangement_square,Basic Geometry_None,Basic Geometry_circle
subcategory_pillars,0.2522921436916762,0.032367025251292765,-0.04786469502417739,0.08659543984348674,0.15989581451584606,0.03720396449190953,-0.2901294265928298,0.29012942659282986,-0.05415303610738831,-0.22830070547681658,1.0,-0.030303030303030314,-0.05896945751844652,-0.054153036107388204,-0.021266970502955684,-0.021266970502955684,-0.021266970502955684,-0.0679889413649005,-0.021266970502955684,-0.030303030303030314,0.39626354032187955,-0.021266970502955684,-0.021266970502955684,-0.021266970502955684,-0.09656090991705357,-0.030303030303030193,-0.12038585308576918,-0.021266970502955684,-0.021266970502955684,-0.021266970502955684,-0.03739787960033831,-0.021266970502955684,-0.021266970502955684,-0.030303030303030318,-0.021266970502955684,-0.021266970502955684,-0.021266970502955684,-0.021266970502955597,0.18463723646899902,-0.058969457518446525,-0.054153036107388176,-0.030303030303030193,-0.06356417261637287,-0.03030303030303032,-0.030303030303030328,-0.0373978796003383,-0.06798894136490051,-0.0373978796003383,-0.037397879600338295,-0.049040823861375,-0.0373978796003383,-0.03030303030303032,-0.030303030303030318,0.17407765595569788,-0.2901294265928298,0.4457052822810144,-0.06798894136490047,-0.2901294265928298,0.29012942659282986
subcategory_reentrant-cavities,0.32097054950045883,0.42574208060019053,0.45903027195317714,0.7147010301749103,0.3962635403218792,0.22196154778813176,-0.29012942659282975,0.29012942659282964,-0.0541530361073882,-0.22830070547681655,-0.030303030303030314,1.0,-0.05896945751844649,-0.054153036107388204,-0.02126697050295567,-0.021266970502955673,-0.02126697050295567,-0.06798894136490048,-0.02126697050295567,-0.03030303030303028,-0.07647191129018725,-0.02126697050295567,-0.02126697050295567,-0.021266970502955673,-0.0965609099170535,-0.030303030303030314,0.25171587463388106,-0.02126697050295567,-0.02126697050295567,-0.02126697050295567,-0.03739787960033831,-0.02126697050295567,-0.02126697050295567,-0.0303030303030303,-0.02126697050295567,-0.02126697050295567,-0.02126697050295567,-0.021266970502955684,-0.16412198797244362,-0.05896945751844652,0.5595813731096783,-0.030303030303030314,-0.06356417261637282,-0.030303030303030304,-0.03030303030303031,-0.03739787960033829,0.18885817045805686,-0.03739787960033828,-0.03739787960033826,-0.04904082386137498,-0.03739787960033829,-0.030303030303030304,-0.0303030303030303,1.6910689400044318e-17,-0.29012942659282975,-0.0679889413649005,0.4457052822810141,-0.29012942659282975,0.2901294265928297
subcategory_reentrant-pillars,0.4795030064662356,0.18962503267024428,-0.041227813016011625,0.40860642865324,0.5082858744255565,0.48734210110661363,-0.5645895715784653,0.5645895715784651,-0.1053813803535745,-0.4442713688505347,-0.05896945751844652,-0.05896945751844649,1.0,-0.10538138035357456,-0.0413853565494633,-0.04138535654946328,-0.04138535654946332,0.2961133002275765,-0.04138535654946332,-0.0589694575184465,0.11402610871143655,-0.04138535654946332,-0.04138535654946332,-0.04138535654946328,-0.18790676768477563,-0.05896945751844652,-0.027382198304686696,-0.04138535654946332,-0.04138535654946332,-0.04138535654946332,-0.0727759781882802,-0.04138535654946332,-0.04138535654946329,-0.058969457518446546,-0.04138535654946332,-0.04138535654946332,-0.04138535654946332,-0.04138535654946329,0.06843859108291539,0.04449648711943802,0.23585356555323825,-0.05896945751844652,-0.12369537763428122,-0.05896945751844655,-0.05896945751844655,-0.0727759781882802,0.15330688593342598,-0.07277597818828019,0.16287957023091282,0.08997973824932212,-0.0727759781882802,-0.05896945751844654,-0.058969457518446546,-0.04839339184958264,-0.5645895715784653,-0.1323059426548745,0.8673389574041771,-0.5645895715784653,0.564589571578465
subcategory_rough,-0.16280006756833712,-0.15912793589590138,-0.1332127570337464,-0.12586365651875375,-0.13665914371885043,0.48028243357860173,0.18665130505147637,-0.18665130505147634,-0.09677419354838716,-0.40798481945193243,-0.054153036107388204,-0.054153036107388204,-0.10538138035357456,1.0,-0.03800514371086353,-0.038005143710863526,0.39271981834558956,-0.12149965068900628,0.39271981834558956,-0.054153036107388225,-0.13665914371885043,0.39271981834558956,0.3927198183455896,-0.038005143710863526,-0.17255919256291527,0.252714168501145,-0.21513556181608898,0.39271981834558956,-0.03800514371086354,-0.03800514371086354,-0.06683188790311702,-0.03800514371086354,-0.03800514371086353,0.5595813731096781,0.39271981834558956,-0.03800514371086354,-0.03800514371086354,0.39271981834558956,-0.08554415042912275,-0.10538138035357457,-0.09677419354838714,-0.0541530361073882,-0.11359236684941297,-0.054153036107388246,-0.054153036107388246,-0.06683188790311696,0.031499909437890515,-0.06683188790311695,-0.06683188790311698,-0.08763841367493652,-0.06683188790311696,-0.05415303610738825,-0.054153036107388246,0.20739033894608497,0.18665130505147637,-0.1214996506890062,-0.1214996506890063,0.18665130505147637,-0.18665130505147634
subcategory_rough-donuts,0.03246357465258973,0.21017353610122094,0.2098118462348915,-0.04942915232435671,-0.053668754096530824,0.12208243104218776,-0.20361574059384205,0.20361574059384202,-0.03800514371086351,-0.16022372418292116,-0.021266970502955684,-0.02126697050295567,-0.0413853565494633,-0.03800514371086353,1.0,-0.014925373134328363,-0.014925373134328361,-0.047715320747639206,-0.014925373134328361,0.7018100265975372,-0.053668754096530824,-0.014925373134328361,-0.014925373134328361,-0.014925373134328363,-0.06776741475716971,-0.021266970502955684,-0.08448799875609088,-0.014925373134328361,-0.014925373134328361,-0.014925373134328361,-0.02624620687700492,-0.014925373134328361,-0.014925373134328361,-0.021266970502955673,-0.014925373134328361,-0.014925373134328361,-0.014925373134328361,-0.014925373134328368,0.12958026383720395,-0.04138535654946329,-0.038005143710863505,-0.021266970502955684,-0.044609973674547054,-0.021266970502955673,-0.021266970502955677,-0.02624620687700491,-0.04771532074763921,-0.026246206877004907,-0.02624620687700489,-0.03441734189851672,-0.02624620687700491,-0.021266970502955677,-0.021266970502955673,0.12216944435630529,-0.2036157405938421,0.3128004360123015,-0.04771532074763919,-0.2036157405938421,0.20361574059384205
subcategory_rough-strings,-0.0639348129620871,-0.06249269407874707,-0.052315289743608114,-0.04942915232435671,-0.053668754096530824,0.18334135597788154,0.07330166661378319,-0.07330166661378319,-0.03800514371086354,-0.16022372418292113,-0.021266970502955684,-0.021266970502955673,-0.04138535654946328,-0.038005143710863526,-0.014925373134328363,1.0,-0.014925373134328354,-0.04771532074763922,-0.014925373134328354,-0.02126697050295567,-0.053668754096530824,-0.014925373134328354,-0.014925373134328354,1.0,-0.06776741475716971,-0.021266970502955684,-0.0844879987560909,-0.014925373134328354,-0.014925373134328354,-0.014925373134328354,-0.026246206877004914,-0.014925373134328354,-0.01492537313432836,-0.021266970502955666,-0.014925373134328354,-0.014925373134328354,-0.014925373134328354,-0.014925373134328368,0.12958026383720406,-0.04138535654946329,-0.03800514371086351,-0.02126697050295568,-0.04460997367454704,-0.021266970502955673,-0.021266970502955677,-0.02624620687700491,-0.04771532074763921,-0.0262462068770049,-0.026246206877004897,-0.03441734189851671,-0.02624620687700491,-0.021266970502955673,-0.021266970502955677,0.12216944435630525,0.07330166661378315,-0.04771532074763922,-0.04771532074763921,0.07330166661378315,-0.07330166661378318
material_CNTs forrest,-0.06393481296208708,-0.06249269407874708,-0.05231528974360813,-0.04942915232435671,-0.05366875409653083,0.2037609976231128,0.07330166661378312,-0.07330166661378319,-0.038005143710863554,-0.16022372418292116,-0.021266970502955684,-0.02126697050295567,-0.04138535654946332,0.39271981834558956,-0.014925373134328361,-0.014925373134328354,1.0,-0.04771532074763924,-0.01492537313432836,-0.021266970502955673,-0.053668754096530845,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.06776741475716973,-0.021266970502955684,-0.08448799875609093,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.026246206877004914,-0.01492537313432836,-0.014925373134328365,-0.02126697050295567,1.0,-0.01492537313432836,-0.01492537313432836,-0.014925373134328368,-0.11518245674418134,-0.04138535654946332,-0.03800514371086352,-0.021266970502955684,-0.04460997367454705,-0.02126697050295567,-0.02126697050295567,-0.026246206877004907,-0.04771532074763921,-0.026246206877004897,-0.026246206877004897,-0.03441734189851671,-0.0262462068770049,-0.021266970502955673,-0.02126697050295567,0.12216944435630525,0.07330166661378318,-0.04771532074763924,-0.04771532074763923,0.07330166661378318,-0.0733016666137832
material_IPS,0.2578729412536875,-0.018181654509256507,-0.1273433172952382,0.13557024334654447,0.18197355024696432,0.0443040633163219,-0.060754825124384446,0.060754825124384494,-0.12149965068900659,0.027795071916828236,-0.0679889413649005,-0.06798894136490048,0.2961133002275765,-0.12149965068900628,-0.047715320747639206,-0.04771532074763922,-0.04771532074763924,1.0,-0.04771532074763924,-0.06798894136490051,-0.17157506166142353,-0.04771532074763924,-0.047715320747639255,-0.04771532074763922,-0.2166474434022357,-0.06798894136490051,-0.2701019213181924,-0.04771532074763924,-0.04771532074763924,-0.04771532074763924,-0.08390719402952725,-0.047715320747639255,-0.047715320747639206,-0.06798894136490052,-0.04771532074763924,-0.047715320747639255,-0.04771532074763924,-0.04771532074763923,0.15342910298305384,0.2961133002275764,-0.1214996506890064,-0.06798894136490051,-0.14261480656245856,-0.06798894136490052,-0.06798894136490051,-0.08390719402952729,0.23163841807909602,-0.08390719402952729,0.5500582719713455,-0.11002971203391543,-0.08390719402952732,-0.06798894136490054,-0.06798894136490052,-0.13018891098082386,-0.06075482512438439,-0.1525423728813562,0.23163841807909602,-0.06075482512438439,0.060754825124384494
material_OTFE,-0.06393481296208708,-0.06249269407874708,-0.05231528974360813,-0.04942915232435671,-0.05366875409653083,0.24460028091357533,0.07330166661378312,-0.07330166661378319,-0.038005143710863554,-0.16022372418292116,-0.021266970502955684,-0.02126697050295567,-0.04138535654946332,0.39271981834558956,-0.014925373134328361,-0.014925373134328354,-0.01492537313432836,-0.04771532074763924,1.0,-0.021266970502955673,-0.053668754096530845,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.06776741475716973,-0.021266970502955684,-0.08448799875609093,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.026246206877004914,-0.01492537313432836,-0.014925373134328365,-0.02126697050295567,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.014925373134328368,0.12958026383720408,-0.04138535654946332,-0.03800514371086352,-0.021266970502955684,-0.04460997367454705,-0.02126697050295567,-0.02126697050295567,-0.026246206877004907,-0.04771532074763921,-0.026246206877004897,-0.026246206877004897,-0.03441734189851671,-0.0262462068770049,-0.021266970502955673,-0.02126697050295567,0.12216944435630525,0.07330166661378314,-0.04771532074763924,-0.04771532074763923,0.07330166661378314,-0.0733016666137832
material_PDMS,-0.022421479543455525,0.10521425772331089,0.11220739981077672,-0.07043095773936918,-0.07647191129018724,0.14922234176599705,-0.0928414165097056,0.09284141650970554,-0.0541530361073882,-0.04778386858817093,-0.030303030303030314,-0.03030303030303028,-0.0589694575184465,-0.054153036107388225,0.7018100265975372,-0.02126697050295567,-0.021266970502955673,-0.06798894136490051,-0.021266970502955673,1.0,-0.07647191129018725,-0.02126697050295567,-0.02126697050295567,-0.021266970502955673,-0.0965609099170535,-0.030303030303030314,-0.12038585308576916,-0.02126697050295567,-0.02126697050295567,-0.02126697050295567,-0.03739787960033831,-0.02126697050295567,-0.02126697050295567,-0.0303030303030303,-0.02126697050295567,-0.02126697050295567,-0.02126697050295567,-0.021266970502955684,0.18463723646899902,-0.05896945751844652,-0.05415303610738819,-0.030303030303030314,-0.06356417261637282,-0.030303030303030304,-0.03030303030303031,-0.03739787960033829,-0.06798894136490048,-0.03739787960033828,-0.03739787960033826,-0.04904082386137498,-0.03739787960033829,-0.030303030303030304,-0.0303030303030303,0.1740776559556979,-0.0928414165097056,0.1888581704580569,-0.06798894136490045,-0.0928414165097056,0.09284141650970552
