										Receding Angle	Leidenfrost Point	Geometry Details							Breaktrough Pressure
No	Ref	Category	subcategory	material	surface energy/oxides/	coating	surface energy/frourines/organic/molecular w/carbon length/electronegativity/	test liquid	surface tension	receding angle	leidenfrost point	Arrangement	Basic Geometry	texture height (mm)	center-to-center distance (mm)	texture width (mm)	lip depth (mm)	lip thickness (mm)	breaktrough pressure (kPa)
46	11	non-textured	flat	silicon wafers		OTS		silicone oil		0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
47	12	non-textured	flat	epoxy		tetrahydrodecyltrichlorosilane		water		90.8	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
48	12	non-textured	flat	epoxy		tetrahydrodecyltrichlorosilane		hexadecane		50	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
49	12	non-textured	flat	epoxy		tetrahydrodecyltrichlorosilane		perhydrophenalene		48.1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
50	12	non-textured	flat	epoxy		tetrahydrodecyltrichlorosilane		decane		38.5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
51	12	non-textured	flat	epoxy		tetrahydrodecyltrichlorosilane		octane		23.8	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
52	12	non-textured	flat	epoxy		tetrahydrodecyltrichlorosilane		hexane		22.8	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
53	12	non-textured	flat	epoxy		tetrahydrodecyltrichlorosilane		pentane		17	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
54	12	non-textured	flat	epoxy		tetrahydrodecyltrichlorosilane		FC-70		0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
55	12	non-textured	flat	epoxy		none		water		67	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
56	12	non-textured	flat	epoxy		none		hexadecane		25.7	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
57	12	non-textured	flat	epoxy		none		perhydrophenalene		25.4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
58	12	non-textured	flat	epoxy		none		decane		13.7	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
59	12	non-textured	flat	epoxy		none		octane		6.1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
60	12	non-textured	flat	epoxy		none		hexane		0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
61	12	non-textured	flat	epoxy		none		pentane		0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
62	12	non-textured	flat	epoxy		none		FC-70		26.7	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
63	12	non-textured	flat	silicon wafers		none		water		0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
64	12	non-textured	flat	silicon wafers		none		hexadecane		0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
65	12	non-textured	flat	silicon wafers		none		decane		0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
66	12	non-textured	flat	silicon wafers		none		octane		0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
67	12	non-textured	flat	silicon wafers		none		hexane		0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
68	12	non-textured	flat	silicon wafers		none		pentane		0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
